h3_index,cuisine_type,competitor_count,avg_rating,total_reviews,rent_index,void_score,latitude,longitude,dominant_zip
88441a833bfffff,Nightlife,1,3.5,149,2639.39898989899,66.5,27.826399,-82.639101,33703
88441a89b1fffff,Vegetarian,1,4.5,168,2657.161863799283,66.49,27.961106,-82.464064,33602
882a13532bfffff,Indian,1,4.5,356,2775.4166666666665,66.49,40.232832,-74.93756,18940
88441a89abfffff,Basque,1,4.0,165,2657.161863799283,66.49,27.948643,-82.459071,33602
8826462529fffff,American (Traditional),1,3.5,131,2640.0,66.48,38.601562,-90.451968,63131
8826462737fffff,Tex-Mex,1,3.0,136,2640.0,66.48,38.62654,-90.405973,63131
88441a8815fffff,Pizza,1,4.5,122,2632.0512820512818,66.48,27.911899,-82.516579,33629
88441a88e5fffff,Greek,1,4.0,118,2632.0512820512818,66.48,27.932612,-82.506144,33629
88441a89abfffff,Wine Bars,1,4.5,164,2657.161863799283,66.48,27.949846,-82.460385,33602
88441ac1d7fffff,American (New),1,4.0,306,2747.8968253968255,66.48,27.876389,-82.222821,33596
882a135321fffff,Korean,1,4.0,347,2775.4166666666665,66.48,40.233867,-74.94182,18940
88441a88e5fffff,Breakfast & Brunch,1,3.5,121,2632.0512820512818,66.48,27.931615,-82.507125,33629
88441a89d3fffff,Juice Bars & Smoothies,1,3.5,122,2632.0512820512818,66.48,27.945116,-82.497894,33629
88441a89b1fffff,Diners,1,4.0,152,2657.161863799283,66.47,27.96091,-82.46414,33602
882a122e51fffff,Seafood,1,4.0,27,2577.777777777778,66.47,40.332386,-75.130364,18902
88441a8813fffff,Food Delivery Services,1,4.0,113,2632.0512820512818,66.47,27.914376,-82.527091,33629
88441a883bfffff,American (Traditional),1,4.5,114,2632.0512820512818,66.47,27.916678,-82.506363,33629
88264620b7fffff,Italian,1,3.5,117,2640.0,66.46,38.627017,-90.48252,63131
8826462525fffff,Burgers,1,3.5,119,2640.0,66.46,38.601707,-90.466877,63131
882a122081fffff,Pizza,1,4.0,13,2577.777777777778,66.46,40.372314,-75.107998,18902
882a12255dfffff,American (New),1,3.5,19,2577.777777777778,66.46,40.330446,-75.054224,18902
882a134613fffff,American (Traditional),1,3.5,7,2572.5,66.46,39.935247,-74.808134,08005
88441a8303fffff,Live/Raw Food,1,3.5,119,2639.39898989899,66.46,27.812313,-82.638845,33703
88441a88e5fffff,Caterers,1,4.5,101,2632.0512820512818,66.46,27.927877,-82.505563,33629
88441ac0bbfffff,Cocktail Bars,1,4.0,293,2747.8968253968255,66.46,27.894106,-82.268076,33596
882a122e53fffff,Pizza,1,3.5,17,2577.777777777778,66.46,40.328219,-75.128338,18902
882a122e57fffff,Juice Bars & Smoothies,1,4.5,13,2577.777777777778,66.46,40.332677,-75.136848,18902
882aac9687fffff,American (Traditional),1,3.5,157,2667.2738095238096,66.46,40.138646,-75.244957,19422
88441a833bfffff,Lounges,1,2.5,114,2639.39898989899,66.46,27.819941,-82.639126,33703
88441a89b1fffff,Italian,1,4.5,144,2657.161863799283,66.46,27.962434,-82.465183,33602
882646252dfffff,American (Traditional),1,3.0,110,2640.0,66.45,38.603037,-90.459414,63131
88441a8813fffff,Sports Bars,1,3.0,97,2632.0512820512818,66.45,27.913574,-82.526426,33629
88441a8835fffff,Specialty Food,1,4.0,94,2632.0512820512818,66.45,27.916983,-82.494226,33629
882a1221d3fffff,Breakfast & Brunch,1,5.0,10,2577.777777777778,66.45,40.385036,-75.146773,18902
882a122e51fffff,Italian,1,3.0,5,2577.777777777778,66.45,40.332626,-75.129759,18902
882a122e51fffff,Sandwiches,1,3.5,5,2577.777777777778,66.45,40.3321,-75.133261,18902
882a122e53fffff,Bars,1,3.0,6,2577.777777777778,66.45,40.331229,-75.129329,18902
882a122e53fffff,Themed Cafes,1,4.0,8,2577.777777777778,66.45,40.328212,-75.128302,18902
88441a8817fffff,Delis,1,4.5,94,2632.0512820512818,66.45,27.911954,-82.517557,33629
88441a89abfffff,Desserts,1,4.5,132,2657.161863799283,66.45,27.951408,-82.46015,33602
88441a89adfffff,Venues & Event Spaces,1,3.5,135,2657.161863799283,66.45,27.94223,-82.448208,33602
88441a89a9fffff,Jazz & Blues,1,3.0,131,2657.161863799283,66.44,27.93973,-82.451726,33602
88441a89abfffff,Contractors,1,3.0,125,2657.161863799283,66.44,27.952083,-82.458418,33602
88441a89b1fffff,Barbeque,1,2.5,125,2657.161863799283,66.44,27.961033,-82.463713,33602
8826462525fffff,American (Traditional),1,4.0,102,2640.0,66.44,38.601444,-90.46684,63131
8844184965fffff,American (Traditional),1,4.0,787,3066.6666666666665,66.44,27.898665,-82.847865,33785
88441a1349fffff,Latin American,1,5.0,129,2657.161863799283,66.44,27.960155,-82.451424,33602
88441a8315fffff,Sports Bars,1,2.5,98,2639.39898989899,66.44,27.815106,-82.638905,33703
8826462503fffff,Breakfast & Brunch,1,3.5,94,2640.0,66.43,38.59923,-90.426987,63131
88441a8815fffff,Sandwiches,1,4.5,81,2632.0512820512818,66.43,27.911361,-82.518232,33629
88441a89a9fffff,Sandwiches,1,3.0,117,2657.161863799283,66.43,27.939682,-82.451445,33602
88441a89abfffff,Acai Bowls,1,3.5,118,2657.161863799283,66.43,27.948661,-82.458139,33602
88441a8837fffff,Italian,1,4.5,73,2632.0512820512818,66.42,27.923671,-82.493254,33629
88441a89abfffff,Barbeque,1,4.0,110,2657.161863799283,66.42,27.948902,-82.458817,33602
